Код,Возраст,Пол,Состоит в браке,Иждивенцы,Доход,Опыт работы,Срок проживания,Недвижимость,Месячный платеж,Число просрочек более 60 дн.
1,28,женский,Да,0,9000,9,7,0,3946,3
2,39,мужской,Да,1,13500,17,6,0,2460,0
3,31,мужской,Нет,2,7000,11,3,0,3126,3
4,34,мужской,Нет,1,10200,15,2,41,3280,0
5,46,женский,Да,2,8500,20,8,0,3348,0
6,30,женский,Да,2,9500,12,30,35,4612,3
7,47,мужской,Нет,2,7900,16,6,67,2870,4
8,33,мужской,Нет,2,12600,15,23,0,2050,0
9,22,мужской,Нет,0,34000,4,19,33,2562,0
10,30,мужской,Да,1,33000,10,8,0,1948,0
11,26,мужской,Да,1,13500,8,2,31,5535,0
12,48,мужской,Нет,2,24000,22,40,40,1845,0
13,37,мужской,Да,1,12500,17,6,18,2409,0
14,27,мужской,Да,1,4000,9,6,0,4305,4
15,55,мужской,Да,1,5500,13,35,28,3382,4
16,39,женский,Нет,1,8000,6,8,0,4818,4
17,29,мужской,Да,1,11000,11,29,38,5228,0
18,36,мужской,Нет,1,11600,18,13,0,4373,0
19,32,мужской,Да,1,8500,14,28,0,2101,0
20,35,женский,Нет,0,4500,16,33,0,1913,5
21,46,мужской,Да,1,9000,16,28,0,718,0
22,22,мужской,Да,1,4000,3,20,21,6252,1
23,37,мужской,Да,2,29000,12,6,0,4612,0
24,56,женский,Да,0,29000,19,36,34,4237,0
25,34,мужской,Нет,1,26000,16,5,40,6662,0
26,40,мужской,Нет,2,10500,22,2,25,3895,3
27,33,мужской,Нет,1,10700,15,3,24,4612,1
28,37,мужской,Да,2,35000,19,31,0,3485,0
29,24,мужской,Да,0,11500,6,8,0,2972,0
30,30,мужской,Да,2,15500,6,6,20,1435,0
31,32,мужской,Нет,1,11300,14,28,0,6560,2
32,25,мужской,Нет,2,12500,7,17,0,1948,0
33,37,мужской,Нет,0,18200,19,36,0,3382,0
34,33,женский,Нет,2,16500,15,3,0,3895,0
35,24,мужской,Да,1,12500,6,14,0,2101,0
36,41,мужской,Да,2,29800,15,28,0,3895,0
37,28,женский,Нет,2,25000,7,15,0,4237,0
38,35,женский,Нет,3,8500,12,23,0,5842,3
39,32,женский,Нет,0,33000,14,26,0,4920,0
40,35,мужской,Нет,0,17500,6,5,0,2562,0
41,37,мужской,Да,0,17000,15,6,0,3143,0
42,32,мужской,Нет,1,18700,14,2,0,3998,0
43,37,мужской,Нет,2,6000,19,11,0,3007,5
44,27,женский,Да,0,12500,9,21,25,8098,2
45,50,мужской,Да,0,31800,25,17,0,3690,0
46,28,мужской,Да,1,5100,4,7,25,2870,4
47,24,мужской,Да,1,2100,6,12,27,1896,6
48,49,женский,Да,0,11000,27,4,32,4510,0
49,30,женский,Нет,1,10000,12,11,0,5228,2
50,35,женский,Нет,0,13500,17,35,57,4510,0
51,34,мужской,Да,1,9500,16,34,23,5740,2
52,23,женский,Да,2,15500,5,7,70,6868,4
53,25,мужской,Нет,1,12000,7,6,0,2255,0
54,34,мужской,Нет,0,13500,4,20,0,2768,0
55,38,мужской,Нет,2,14000,20,20,0,3178,0
56,40,мужской,Да,1,7000,20,3,39,6765,1
57,35,мужской,Нет,1,27000,7,27,0,2562,0
58,53,мужской,Да,0,17000,31,51,10,3588,0
59,22,мужской,Да,0,10000,3,22,29,2870,0
60,27,мужской,Нет,0,10000,9,27,25,3178,0
61,33,мужской,Да,1,9000,12,3,0,2050,0
62,39,мужской,Да,2,7000,22,5,0,4920,6
63,27,мужской,Нет,0,12000,6,27,0,3690,0
64,30,мужской,Да,1,12000,2,17,0,1999,0
65,35,женский,Да,1,7500,8,35,36,3024,4
66,49,женский,Да,1,18800,5,4,32,4818,0
67,40,женский,Да,1,7400,19,23,0,1025,0
68,40,мужской,Да,0,9500,19,2,0,5740,3
69,34,мужской,Нет,0,14500,9,3,0,2050,0
70,40,мужской,Нет,1,11000,18,40,30,3212,0
71,35,женский,Нет,2,12500,16,7,21,6048,4
72,29,женский,Да,0,8000,11,6,27,2358,0
73,26,мужской,Да,3,34500,8,15,0,4715,0
74,22,женский,Да,1,7000,3,20,43,4168,5
75,35,мужской,Да,1,15500,8,20,38,3485,0
76,45,мужской,Да,2,11500,21,3,35,3485,0
77,34,мужской,Нет,1,3500,16,34,0,3024,2
78,40,женский,Нет,1,10100,22,5,0,3485,4
79,24,женский,Да,2,8800,12,8,0,3792,5
80,46,мужской,Да,3,10500,19,25,0,4202,6
81,30,женский,Нет,2,13000,5,21,0,2716,0
82,22,мужской,Да,0,10500,4,22,32,1896,0
83,35,мужской,Да,1,5500,18,35,27,2358,4
84,34,женский,Да,2,21500,16,32,41,2118,0
85,37,мужской,Да,0,12900,14,12,0,3895,0
86,33,женский,Да,1,5400,14,30,0,3553,5
87,36,мужской,Да,3,8700,18,20,0,5638,3
88,27,мужской,Нет,1,11400,9,8,0,5022,5
89,39,мужской,Да,1,13700,10,5,64,1948,0
90,39,мужской,Да,1,19500,4,2,0,3024,0
91,36,мужской,Нет,1,13000,11,8,0,5740,3
92,40,женский,Нет,2,11000,18,6,0,2768,1
93,35,мужской,Да,2,10500,17,9,33,2528,0
94,37,женский,Да,0,10500,18,6,0,3895,0
95,29,женский,Да,1,22700,11,12,0,5330,0
96,27,мужской,Да,2,7500,6,6,0,4202,1
97,38,мужской,Нет,0,6200,17,36,0,3946,4
98,35,мужской,Да,1,9500,5,10,0,3075,3
99,29,женский,Нет,0,23000,11,8,0,4373,0
100,24,мужской,Да,1,10500,6,24,0,2665,0
101,22,женский,Нет,0,15300,2,21,0,3280,4
102,31,женский,Да,1,15000,12,9,0,4612,0
103,27,мужской,Да,0,15500,9,16,41,5842,0
104,38,мужской,Нет,0,8000,18,2,10,9225,6
105,28,мужской,Нет,1,9000,10,26,76,6662,5
106,30,мужской,Да,0,12000,10,5,0,3690,2
107,25,мужской,Да,1,7500,7,9,35,3792,5
108,37,мужской,Да,0,7000,8,22,0,3178,6
109,24,мужской,Нет,1,7000,6,2,0,7790,5
110,34,женский,Да,0,8000,9,22,56,3348,5
111,40,женский,Да,1,15000,18,25,0,2358,0
112,38,мужской,Да,1,4900,16,38,36,6355,5
113,40,женский,Да,2,10000,18,31,0,3212,0
114,37,женский,Нет,0,5500,16,20,0,4202,5
115,35,мужской,Нет,1,20000,15,14,0,3280,0
116,30,мужской,Да,0,12500,8,4,35,2870,0
117,33,мужской,Да,2,36700,10,18,36,5945,0
118,25,мужской,Да,0,18500,7,6,0,2921,0
119,32,мужской,Нет,0,6300,14,19,39,3212,5
120,38,женский,Да,1,16000,5,15,0,3588,0
121,40,женский,Нет,0,5000,11,6,27,2460,4
122,37,женский,Да,1,15500,9,31,0,6048,0
123,27,мужской,Да,1,3400,5,2,30,4168,5
124,40,мужской,Нет,0,5000,19,23,0,4032,6
125,29,мужской,Нет,1,11500,4,24,39,3024,0
126,38,женский,Нет,1,9500,17,38,29,2665,0
127,35,мужской,Нет,1,8000,18,26,25,5740,6
128,28,женский,Да,2,7900,10,7,0,3178,1
129,34,женский,Нет,2,6900,16,7,37,6868,4
130,36,женский,Нет,1,5500,10,32,0,5945,5
131,38,мужской,Да,1,12000,8,6,0,5330,4
132,28,мужской,Да,0,6000,10,3,0,4510,3
133,59,мужской,Да,1,10000,19,11,40,3331,0
134,27,женский,Да,1,8700,9,12,0,3690,4
135,38,мужской,Нет,1,13500,12,38,0,3485,0
136,36,мужской,Нет,3,4200,17,5,33,7072,2
137,31,мужской,Да,3,15700,7,16,31,2768,0
138,58,мужской,Нет,0,23500,9,7,36,2306,0
139,32,мужской,Да,2,17800,14,24,84,5842,0
140,34,мужской,Да,1,10000,17,4,10,3382,0
141,35,мужской,Нет,1,6000,16,2,0,6252,4
142,39,мужской,Да,0,8500,22,6,0,3143,1
143,25,мужской,Да,0,8500,7,25,30,2921,0
144,36,мужской,Нет,1,9000,18,2,39,3075,0
145,27,мужской,Да,1,23000,9,10,0,1691,0
146,32,мужской,Да,0,23000,14,22,31,3382,0
147,22,женский,Да,0,14000,4,3,34,4202,0
148,30,женский,Да,0,21000,12,3,24,4715,0
149,39,женский,Нет,1,13500,19,3,0,1538,0
150,33,женский,Нет,1,33500,15,4,0,4920,0
151,38,мужской,Да,0,6000,16,2,0,2562,3
